From Date,To Date,PM2.5
22-01-2019 00:00,22-01-2019 04:00,166.75
22-01-2019 04:00,22-01-2019 08:00,181.87
22-01-2019 08:00,22-01-2019 12:00,165.23
22-01-2019 12:00,22-01-2019 16:00,70.4
22-01-2019 16:00,22-01-2019 20:00,83.38
22-01-2019 20:00,23-01-2019 00:00,100.2
23-01-2019 00:00,23-01-2019 04:00,147.47
23-01-2019 04:00,23-01-2019 08:00,187.81
23-01-2019 08:00,23-01-2019 12:00,152.77
23-01-2019 12:00,23-01-2019 16:00,65.47
23-01-2019 16:00,23-01-2019 20:00,64.43
23-01-2019 20:00,24-01-2019 00:00,84.75
24-01-2019 00:00,24-01-2019 04:00,132.36
24-01-2019 04:00,24-01-2019 08:00,136.67
24-01-2019 08:00,24-01-2019 12:00,198.4
24-01-2019 12:00,24-01-2019 16:00,51
24-01-2019 16:00,24-01-2019 20:00,64.25
24-01-2019 20:00,25-01-2019 00:00,66.14
25-01-2019 00:00,25-01-2019 04:00,126.53
25-01-2019 04:00,25-01-2019 08:00,148.93
25-01-2019 08:00,25-01-2019 12:00,110.88
25-01-2019 12:00,25-01-2019 16:00,
25-01-2019 16:00,25-01-2019 20:00,20
25-01-2019 20:00,26-01-2019 00:00,40.31
26-01-2019 00:00,26-01-2019 04:00,50.07
26-01-2019 04:00,26-01-2019 08:00,87.86
26-01-2019 08:00,26-01-2019 12:00,35.62
26-01-2019 12:00,26-01-2019 16:00,30.87
26-01-2019 16:00,26-01-2019 20:00,36.07
26-01-2019 20:00,27-01-2019 00:00,35.77
27-01-2019 00:00,27-01-2019 04:00,51.23
27-01-2019 04:00,27-01-2019 08:00,79.88
27-01-2019 08:00,27-01-2019 12:00,87.36
27-01-2019 12:00,27-01-2019 16:00,89.77
27-01-2019 16:00,27-01-2019 20:00,98
27-01-2019 20:00,28-01-2019 00:00,92.81
28-01-2019 00:00,28-01-2019 04:00,88.5
28-01-2019 04:00,28-01-2019 08:00,88.42
28-01-2019 08:00,28-01-2019 12:00,90.21
28-01-2019 12:00,28-01-2019 16:00,79.81
28-01-2019 16:00,28-01-2019 20:00,79.93
28-01-2019 20:00,29-01-2019 00:00,80.5
29-01-2019 00:00,29-01-2019 04:00,74.67
29-01-2019 04:00,29-01-2019 08:00,96.44
29-01-2019 08:00,29-01-2019 12:00,79.6
29-01-2019 12:00,29-01-2019 16:00,68.75
29-01-2019 16:00,29-01-2019 20:00,78.81
29-01-2019 20:00,30-01-2019 00:00,85.55
30-01-2019 00:00,30-01-2019 04:00,91.83
30-01-2019 04:00,30-01-2019 08:00,65.92
30-01-2019 08:00,30-01-2019 12:00,74.79
30-01-2019 12:00,30-01-2019 16:00,63.23
30-01-2019 16:00,30-01-2019 20:00,63.46
30-01-2019 20:00,31-01-2019 00:00,66.57
31-01-2019 00:00,31-01-2019 04:00,59.13
31-01-2019 04:00,31-01-2019 08:00,53.79
31-01-2019 08:00,31-01-2019 12:00,62.79
31-01-2019 12:00,31-01-2019 16:00,52.21
31-01-2019 16:00,31-01-2019 20:00,55.8
31-01-2019 20:00,01-02-2019 00:00,63
